bucket,env_class,n,mean_delta_rms,mean_pct_sat_after,mean_pct_crush_after,mean_delta_crush,mean_delta_sat,mean_delta_ent,p90_delta_crush,p90_pct_sat_after,crush_flag,sat_flag,rms_flag
A,night_clear,40,-0.1181,0.05833,1e-05,-0.67712,0.05758,1.9265,-0.42678,0.18728,,,
A,normal_night,40,-0.0492,0.07656,0.00118,-0.25742,0.07273,0.7419,-0.00106,0.20405,,,
A,nir_night,40,0.128,0.17059,0.00047,-0.02207,0.15997,-0.4167,-0.00018,0.34809,,BOLD,
A,fog,30,0.0434,0.04842,0.0,-0.00225,0.02104,-0.0104,0.0,0.19795,,,
A,glare,30,-0.0401,0.12084,2e-05,-0.01367,0.09743,0.1258,0.0,0.22694,,,
A,backlight,25,-0.5361,0.19479,0.0,-0.01835,0.11782,-0.2314,0.0,0.34919,,BOLD,BOLD
A,rain,20,0.0044,0.11945,0.00057,-0.01125,0.09752,-0.1255,0.00056,0.31057,,,
A,normal_day,20,-0.22,0.04248,0.00015,-0.01152,0.03045,0.1127,0.0,0.16047,,,
A,mixed_edge,25,-0.0912,0.1354,0.00026,-0.34539,0.13326,1.1609,-0.07273,0.28133,,BOLD,
B,night_clear,40,0.1037,0.00079,0.00239,-0.67474,4e-05,0.4136,-0.42428,0.00218,,,
B,normal_night,40,0.1981,0.00344,0.00851,-0.25009,-0.00039,0.6746,0.0001,0.01128,,,
B,nir_night,40,0.2115,0.01197,0.00662,-0.01592,0.00135,0.3119,0.0024,0.02249,,,
B,fog,30,0.3263,0.01843,0.00135,-0.00091,-0.00894,0.3444,0.00081,0.06817,,,
B,glare,30,0.2138,0.01994,0.00086,-0.01283,-0.00347,0.498,0.00266,0.0501,,,
B,backlight,25,0.1218,0.06119,0.00253,-0.01582,-0.01578,0.3923,0.00296,0.18587,,,
B,rain,20,0.2362,0.01555,0.00364,-0.00819,-0.00638,0.3837,0.00243,0.06835,,,
B,normal_day,20,0.1989,0.01319,0.0037,-0.00797,0.00117,0.4521,0.00493,0.05081,,,
B,mixed_edge,25,0.176,0.0023,0.00414,-0.34151,0.00016,0.7971,-0.0692,0.00391,,,
C,night_clear,40,0.0104,0.00045,0.67713,0.0,-0.00029,0.0088,0.0,0.00114,ITALIC,,
C,normal_night,40,0.036,0.0001,0.2586,0.0,-0.00373,0.0219,0.0,0.00034,,,
C,nir_night,40,0.0221,0.00039,0.02254,0.0,-0.01023,-0.1472,0.0,0.0012,ITALIC,,
C,fog,30,0.0122,0.00034,0.00225,0.0,-0.02704,-0.1622,0.0,0.0003,ITALIC,,
C,glare,30,0.0451,0.0,0.01369,0.0,-0.02341,0.0462,0.0,0.0,,,
C,backlight,25,0.0311,1e-05,0.01835,0.0,-0.07696,-0.12,0.0,0.0,,,
C,rain,20,0.0241,0.00015,0.01183,0.0,-0.02178,-0.0622,0.0,0.00042,ITALIC,,
C,normal_day,20,-0.0082,0.00051,0.01167,0.0,-0.01152,-0.0291,0.0,0.00129,ITALIC,,
C,mixed_edge,25,0.043,0.00013,0.34565,0.0,-0.00201,0.035,0.0,0.00061,,,
D,night_clear,40,-1.0234,0.00059,0.76106,0.08393,-0.00016,-0.5777,0.16602,0.00187,BOLD,,BOLD
D,normal_night,40,-0.8036,0.00235,0.32675,0.06815,-0.00148,-0.2932,0.19126,0.00776,BOLD,,BOLD
D,nir_night,40,-0.2576,0.00745,0.02027,-0.00227,-0.00318,-0.1515,0.00511,0.01756,,,
D,fog,30,-0.3879,0.01602,0.00363,0.00137,-0.01136,0.369,0.00496,0.04997,,,BOLD
D,glare,30,-0.666,0.0136,0.0592,0.04551,-0.00981,-0.2853,0.17902,0.03467,,,BOLD
D,backlight,25,-0.9562,0.0403,0.0593,0.04095,-0.03667,0.0249,0.11114,0.11621,,,BOLD
D,rain,20,-0.5806,0.00814,0.01054,-0.00128,-0.01378,-0.1353,0.00336,0.02385,,,BOLD
D,normal_day,20,-0.747,0.0072,0.00985,-0.00182,-0.00482,-0.08,0.01074,0.03458,,,BOLD
D,mixed_edge,25,-0.9843,0.00255,0.46752,0.12187,0.00042,-0.6349,0.16354,0.00662,BOLD,,BOLD
E,night_clear,40,-0.0059,0.00074,0.67758,0.00045,-1e-05,-0.0055,0.00193,0.00225,ITALIC,,
E,normal_night,40,-0.004,0.0038,0.2587,0.0001,-3e-05,-0.0012,0.00171,0.01408,ITALIC,,
E,nir_night,40,-0.0067,0.01033,0.022,-0.00054,-0.00029,-0.0031,4e-05,0.03102,ITALIC,,
E,fog,30,-0.0051,0.02735,0.00224,-1e-05,-3e-05,-0.0006,0.0,0.1462,ITALIC,,
E,glare,30,-0.0059,0.02334,0.01371,2e-05,-7e-05,-0.0008,0.0,0.05876,ITALIC,,
E,backlight,25,-0.0029,0.07691,0.01832,-3e-05,-6e-05,0.0007,8e-05,0.24048,ITALIC,,
E,rain,20,-0.006,0.02183,0.01159,-0.00023,-0.0001,-0.0016,0.0,0.12215,ITALIC,,
E,normal_day,20,-0.0041,0.01191,0.0114,-0.00027,-0.00011,-0.0004,0.0,0.05479,ITALIC,,
E,mixed_edge,25,-0.0094,0.00213,0.34724,0.0016,-1e-05,-0.0226,0.00545,0.00488,ITALIC,,
F,night_clear,40,-0.1148,0.05018,2e-05,-0.67711,0.04943,1.9457,-0.42669,0.09294,,,
F,normal_night,40,-0.051,0.04774,0.00395,-0.25466,0.04391,0.8089,-0.00089,0.17937,,,
F,nir_night,40,0.0393,0.00046,0.00886,-0.01368,-0.01016,-0.0067,0.0,0.0012,,,
F,fog,30,0.0141,0.00088,0.00225,-0.0,-0.0265,-0.149,0.0,0.00139,ITALIC,,
F,glare,30,0.0234,0.00667,2e-05,-0.01367,-0.01674,0.3602,0.0,0.00528,,,
F,backlight,25,-0.0483,0.00091,0.00355,-0.01479,-0.07606,-0.0201,0.0,2e-05,,,
F,rain,20,0.0275,0.00034,0.00363,-0.0082,-0.02159,-0.0078,0.0,0.00232,,,
F,normal_day,20,-0.0327,0.00051,0.00994,-0.00173,-0.01152,0.0288,0.0,0.00129,,,
F,mixed_edge,25,-0.0902,0.12518,0.00054,-0.3451,0.12304,1.1971,-0.07257,0.276,,BOLD,
