env_class,edge_case,high_pct,saturate_at,gamma,n,mean_log_rms_after,mean_pct_sat_after,mean_pct_crush_after,mean_delta_log_rms,p90_pct_sat_after,stopping_rule_pass
glare,,90.0,220.0,0.65,5,1.3483,0.0048,0.0051,0.05888,0.0183,1
glare,,90.0,220.0,0.72,5,1.33443,0.0048,0.0051,0.045,0.0183,1
glare,,90.0,220.0,0.8,5,1.32068,0.0048,0.0051,0.03126,0.0183,1
glare,,90.0,233.0,0.65,5,1.3483,0.0048,0.0051,0.05888,0.0183,1
glare,,90.0,233.0,0.72,5,1.33443,0.0048,0.0051,0.045,0.0183,1
glare,,90.0,233.0,0.8,5,1.32068,0.0048,0.0051,0.03126,0.0183,1
glare,,90.0,245.0,0.65,5,1.3483,0.0048,0.0051,0.05888,0.0183,1
glare,,90.0,245.0,0.72,5,1.33443,0.0048,0.0051,0.045,0.0183,1
glare,,90.0,245.0,0.8,5,1.32068,0.0048,0.0051,0.03126,0.0183,1
glare,,93.0,220.0,0.65,5,1.3483,0.0048,0.0051,0.05888,0.0183,1
glare,,93.0,220.0,0.72,5,1.33443,0.0048,0.0051,0.045,0.0183,1
glare,,93.0,220.0,0.8,5,1.32068,0.0048,0.0051,0.03126,0.0183,1
glare,,93.0,233.0,0.65,5,1.3483,0.0048,0.0051,0.05888,0.0183,1
glare,,93.0,233.0,0.72,5,1.33443,0.0048,0.0051,0.045,0.0183,1
glare,,93.0,233.0,0.8,5,1.32068,0.0048,0.0051,0.03126,0.0183,1
glare,,93.0,245.0,0.65,5,1.3483,0.0048,0.0051,0.05888,0.0183,1
glare,,93.0,245.0,0.72,5,1.33443,0.0048,0.0051,0.045,0.0183,1
glare,,93.0,245.0,0.8,5,1.32068,0.0048,0.0051,0.03126,0.0183,1
glare,,95.0,220.0,0.65,5,1.3483,0.0048,0.0051,0.05888,0.0183,1
glare,,95.0,220.0,0.72,5,1.33443,0.0048,0.0051,0.045,0.0183,1
glare,,95.0,220.0,0.8,5,1.32068,0.0048,0.0051,0.03126,0.0183,1
glare,,95.0,233.0,0.65,5,1.3483,0.0048,0.0051,0.05888,0.0183,1
glare,,95.0,233.0,0.72,5,1.33443,0.0048,0.0051,0.045,0.0183,1
glare,,95.0,233.0,0.8,5,1.32068,0.0048,0.0051,0.03126,0.0183,1
glare,,95.0,245.0,0.65,5,1.3483,0.0048,0.0051,0.05888,0.0183,1
glare,,95.0,245.0,0.72,5,1.33443,0.0048,0.0051,0.045,0.0183,1
glare,,95.0,245.0,0.8,5,1.32068,0.0048,0.0051,0.03126,0.0183,1
glare,,97.0,220.0,0.65,5,1.3483,0.0048,0.0051,0.05888,0.0183,1
glare,,97.0,220.0,0.72,5,1.33443,0.0048,0.0051,0.045,0.0183,1
glare,,97.0,220.0,0.8,5,1.32068,0.0048,0.0051,0.03126,0.0183,1
glare,,97.0,233.0,0.65,5,1.3483,0.0048,0.0051,0.05888,0.0183,1
glare,,97.0,233.0,0.72,5,1.33443,0.0048,0.0051,0.045,0.0183,1
glare,,97.0,233.0,0.8,5,1.32068,0.0048,0.0051,0.03126,0.0183,1
glare,,97.0,245.0,0.65,5,1.3483,0.0048,0.0051,0.05888,0.0183,1
glare,,97.0,245.0,0.72,5,1.33443,0.0048,0.0051,0.045,0.0183,1
glare,,97.0,245.0,0.8,5,1.32068,0.0048,0.0051,0.03126,0.0183,1
