env_class,edge_case,high_pct,saturate_at,gamma,n,mean_log_rms_after,mean_pct_sat_after,mean_pct_crush_after,mean_delta_log_rms,p90_pct_sat_after,stopping_rule_pass
glare,,90.0,220.0,0.65,30,1.29889,0.00108,0.01369,0.04931,0.0057,1
backlight,,90.0,220.0,0.65,25,1.18821,0.0,0.01835,0.04724,0.0,1
normal_day,,90.0,220.0,0.65,20,1.43096,0.00051,0.01167,-0.00865,0.00129,1
glare,,90.0,220.0,0.72,30,1.28571,0.00108,0.01369,0.03612,0.0057,1
backlight,,90.0,220.0,0.72,25,1.17361,0.0,0.01835,0.03265,0.0,1
normal_day,,90.0,220.0,0.72,20,1.43144,0.00051,0.01167,-0.00818,0.00129,1
glare,,90.0,220.0,0.8,30,1.27338,0.00108,0.01369,0.02379,0.0057,1
backlight,,90.0,220.0,0.8,25,1.16056,0.0,0.01835,0.01959,0.0,1
normal_day,,90.0,220.0,0.8,20,1.43281,0.00051,0.01167,-0.0068,0.00129,1
glare,,90.0,233.0,0.65,30,1.29889,0.00108,0.01369,0.04931,0.0057,1
backlight,,90.0,233.0,0.65,25,1.186,1e-05,0.01835,0.04503,0.0,1
normal_day,,90.0,233.0,0.65,20,1.43096,0.00051,0.01167,-0.00865,0.00129,1
glare,,90.0,233.0,0.72,30,1.28571,0.00108,0.01369,0.03612,0.0057,1
backlight,,90.0,233.0,0.72,25,1.17209,1e-05,0.01835,0.03112,0.0,1
normal_day,,90.0,233.0,0.72,20,1.43144,0.00051,0.01167,-0.00818,0.00129,1
glare,,90.0,233.0,0.8,30,1.27338,0.00108,0.01369,0.02379,0.0057,1
backlight,,90.0,233.0,0.8,25,1.15963,1e-05,0.01835,0.01867,0.0,1
normal_day,,90.0,233.0,0.8,20,1.43281,0.00051,0.01167,-0.0068,0.00129,1
glare,,90.0,245.0,0.65,30,1.29889,0.00108,0.01369,0.04931,0.0057,1
backlight,,90.0,245.0,0.65,25,1.186,1e-05,0.01835,0.04503,0.0,1
normal_day,,90.0,245.0,0.65,20,1.43096,0.00051,0.01167,-0.00865,0.00129,1
glare,,90.0,245.0,0.72,30,1.28571,0.00108,0.01369,0.03612,0.0057,1
backlight,,90.0,245.0,0.72,25,1.17209,1e-05,0.01835,0.03112,0.0,1
normal_day,,90.0,245.0,0.72,20,1.43144,0.00051,0.01167,-0.00818,0.00129,1
glare,,90.0,245.0,0.8,30,1.27338,0.00108,0.01369,0.02379,0.0057,1
backlight,,90.0,245.0,0.8,25,1.15963,1e-05,0.01835,0.01867,0.0,1
normal_day,,90.0,245.0,0.8,20,1.43281,0.00051,0.01167,-0.0068,0.00129,1
glare,,93.0,220.0,0.65,30,1.29889,0.00108,0.01369,0.04931,0.0057,1
backlight,,93.0,220.0,0.65,25,1.18821,0.0,0.01835,0.04724,0.0,1
normal_day,,93.0,220.0,0.65,20,1.43096,0.00051,0.01167,-0.00865,0.00129,1
glare,,93.0,220.0,0.72,30,1.28571,0.00108,0.01369,0.03612,0.0057,1
backlight,,93.0,220.0,0.72,25,1.17361,0.0,0.01835,0.03265,0.0,1
normal_day,,93.0,220.0,0.72,20,1.43144,0.00051,0.01167,-0.00818,0.00129,1
glare,,93.0,220.0,0.8,30,1.27338,0.00108,0.01369,0.02379,0.0057,1
backlight,,93.0,220.0,0.8,25,1.16056,0.0,0.01835,0.01959,0.0,1
normal_day,,93.0,220.0,0.8,20,1.43281,0.00051,0.01167,-0.0068,0.00129,1
glare,,93.0,233.0,0.65,30,1.29889,0.00108,0.01369,0.04931,0.0057,1
backlight,,93.0,233.0,0.65,25,1.186,1e-05,0.01835,0.04503,0.0,1
normal_day,,93.0,233.0,0.65,20,1.43096,0.00051,0.01167,-0.00865,0.00129,1
glare,,93.0,233.0,0.72,30,1.28571,0.00108,0.01369,0.03612,0.0057,1
backlight,,93.0,233.0,0.72,25,1.17209,1e-05,0.01835,0.03112,0.0,1
normal_day,,93.0,233.0,0.72,20,1.43144,0.00051,0.01167,-0.00818,0.00129,1
glare,,93.0,233.0,0.8,30,1.27338,0.00108,0.01369,0.02379,0.0057,1
backlight,,93.0,233.0,0.8,25,1.15963,1e-05,0.01835,0.01867,0.0,1
normal_day,,93.0,233.0,0.8,20,1.43281,0.00051,0.01167,-0.0068,0.00129,1
glare,,93.0,245.0,0.65,30,1.29889,0.00108,0.01369,0.04931,0.0057,1
backlight,,93.0,245.0,0.65,25,1.186,1e-05,0.01835,0.04503,0.0,1
normal_day,,93.0,245.0,0.65,20,1.43096,0.00051,0.01167,-0.00865,0.00129,1
glare,,93.0,245.0,0.72,30,1.28571,0.00108,0.01369,0.03612,0.0057,1
backlight,,93.0,245.0,0.72,25,1.17209,1e-05,0.01835,0.03112,0.0,1
normal_day,,93.0,245.0,0.72,20,1.43144,0.00051,0.01167,-0.00818,0.00129,1
glare,,93.0,245.0,0.8,30,1.27338,0.00108,0.01369,0.02379,0.0057,1
backlight,,93.0,245.0,0.8,25,1.15963,1e-05,0.01835,0.01867,0.0,1
normal_day,,93.0,245.0,0.8,20,1.43281,0.00051,0.01167,-0.0068,0.00129,1
glare,,95.0,220.0,0.65,30,1.29889,0.00108,0.01369,0.04931,0.0057,1
backlight,,95.0,220.0,0.65,25,1.18821,0.0,0.01835,0.04724,0.0,1
normal_day,,95.0,220.0,0.65,20,1.43096,0.00051,0.01167,-0.00865,0.00129,1
glare,,95.0,220.0,0.72,30,1.28571,0.00108,0.01369,0.03612,0.0057,1
backlight,,95.0,220.0,0.72,25,1.17361,0.0,0.01835,0.03265,0.0,1
normal_day,,95.0,220.0,0.72,20,1.43144,0.00051,0.01167,-0.00818,0.00129,1
glare,,95.0,220.0,0.8,30,1.27338,0.00108,0.01369,0.02379,0.0057,1
backlight,,95.0,220.0,0.8,25,1.16056,0.0,0.01835,0.01959,0.0,1
normal_day,,95.0,220.0,0.8,20,1.43281,0.00051,0.01167,-0.0068,0.00129,1
glare,,95.0,233.0,0.65,30,1.29889,0.00108,0.01369,0.04931,0.0057,1
backlight,,95.0,233.0,0.65,25,1.186,1e-05,0.01835,0.04503,0.0,1
normal_day,,95.0,233.0,0.65,20,1.43096,0.00051,0.01167,-0.00865,0.00129,1
glare,,95.0,233.0,0.72,30,1.28571,0.00108,0.01369,0.03612,0.0057,1
backlight,,95.0,233.0,0.72,25,1.17209,1e-05,0.01835,0.03112,0.0,1
normal_day,,95.0,233.0,0.72,20,1.43144,0.00051,0.01167,-0.00818,0.00129,1
glare,,95.0,233.0,0.8,30,1.27338,0.00108,0.01369,0.02379,0.0057,1
backlight,,95.0,233.0,0.8,25,1.15963,1e-05,0.01835,0.01867,0.0,1
normal_day,,95.0,233.0,0.8,20,1.43281,0.00051,0.01167,-0.0068,0.00129,1
glare,,95.0,245.0,0.65,30,1.29889,0.00108,0.01369,0.04931,0.0057,1
backlight,,95.0,245.0,0.65,25,1.186,1e-05,0.01835,0.04503,0.0,1
normal_day,,95.0,245.0,0.65,20,1.43096,0.00051,0.01167,-0.00865,0.00129,1
glare,,95.0,245.0,0.72,30,1.28571,0.00108,0.01369,0.03612,0.0057,1
backlight,,95.0,245.0,0.72,25,1.17209,1e-05,0.01835,0.03112,0.0,1
normal_day,,95.0,245.0,0.72,20,1.43144,0.00051,0.01167,-0.00818,0.00129,1
glare,,95.0,245.0,0.8,30,1.27338,0.00108,0.01369,0.02379,0.0057,1
backlight,,95.0,245.0,0.8,25,1.15963,1e-05,0.01835,0.01867,0.0,1
normal_day,,95.0,245.0,0.8,20,1.43281,0.00051,0.01167,-0.0068,0.00129,1
glare,,97.0,220.0,0.65,30,1.29889,0.00108,0.01369,0.04931,0.0057,1
backlight,,97.0,220.0,0.65,25,1.18821,0.0,0.01835,0.04724,0.0,1
normal_day,,97.0,220.0,0.65,20,1.43096,0.00051,0.01167,-0.00865,0.00129,1
glare,,97.0,220.0,0.72,30,1.28571,0.00108,0.01369,0.03612,0.0057,1
backlight,,97.0,220.0,0.72,25,1.17361,0.0,0.01835,0.03265,0.0,1
normal_day,,97.0,220.0,0.72,20,1.43144,0.00051,0.01167,-0.00818,0.00129,1
glare,,97.0,220.0,0.8,30,1.27338,0.00108,0.01369,0.02379,0.0057,1
backlight,,97.0,220.0,0.8,25,1.16056,0.0,0.01835,0.01959,0.0,1
normal_day,,97.0,220.0,0.8,20,1.43281,0.00051,0.01167,-0.0068,0.00129,1
glare,,97.0,233.0,0.65,30,1.29889,0.00108,0.01369,0.04931,0.0057,1
backlight,,97.0,233.0,0.65,25,1.186,1e-05,0.01835,0.04503,0.0,1
normal_day,,97.0,233.0,0.65,20,1.43096,0.00051,0.01167,-0.00865,0.00129,1
glare,,97.0,233.0,0.72,30,1.28571,0.00108,0.01369,0.03612,0.0057,1
backlight,,97.0,233.0,0.72,25,1.17209,1e-05,0.01835,0.03112,0.0,1
normal_day,,97.0,233.0,0.72,20,1.43144,0.00051,0.01167,-0.00818,0.00129,1
glare,,97.0,233.0,0.8,30,1.27338,0.00108,0.01369,0.02379,0.0057,1
backlight,,97.0,233.0,0.8,25,1.15963,1e-05,0.01835,0.01867,0.0,1
normal_day,,97.0,233.0,0.8,20,1.43281,0.00051,0.01167,-0.0068,0.00129,1
glare,,97.0,245.0,0.65,30,1.29889,0.00108,0.01369,0.04931,0.0057,1
backlight,,97.0,245.0,0.65,25,1.186,1e-05,0.01835,0.04503,0.0,1
normal_day,,97.0,245.0,0.65,20,1.43096,0.00051,0.01167,-0.00865,0.00129,1
glare,,97.0,245.0,0.72,30,1.28571,0.00108,0.01369,0.03612,0.0057,1
backlight,,97.0,245.0,0.72,25,1.17209,1e-05,0.01835,0.03112,0.0,1
normal_day,,97.0,245.0,0.72,20,1.43144,0.00051,0.01167,-0.00818,0.00129,1
glare,,97.0,245.0,0.8,30,1.27338,0.00108,0.01369,0.02379,0.0057,1
backlight,,97.0,245.0,0.8,25,1.15963,1e-05,0.01835,0.01867,0.0,1
normal_day,,97.0,245.0,0.8,20,1.43281,0.00051,0.01167,-0.0068,0.00129,1
