env_class,edge_case,detail_strength,clahe_clip_scale,proc_w,proc_h,n,mean_log_rms_after,mean_pct_sat_after,mean_pct_crush_after,mean_delta_log_rms,p90_pct_sat_after,p90_pct_crush_after,stopping_rule_pass
night_clear,,0.0,0.5,320,240,40,0.91491,0.04504,0.0,-0.19339,0.14244,0.0,1
nir_night,,0.0,0.5,320,240,40,1.86046,0.05792,0.0,-0.00852,0.17191,0.0,0
normal_night,,0.0,0.5,320,240,40,1.13786,0.07243,0.0034,-0.10629,0.19436,0.0015,0
night_clear,,0.0,0.5,240,180,40,0.66933,0.04107,0.0,-0.43898,0.13514,0.0,1
nir_night,,0.0,0.5,240,180,40,1.78778,0.05395,0.0,-0.08119,0.1692,0.0,0
normal_night,,0.0,0.5,240,180,40,1.02439,0.06475,0.00337,-0.21976,0.18103,0.00152,0
night_clear,,0.0,1.0,320,240,40,0.95278,0.05874,0.0,-0.15552,0.18917,0.0,0
nir_night,,0.0,1.0,320,240,40,1.94556,0.07045,3e-05,0.07659,0.16107,0.0,0
normal_night,,0.0,1.0,320,240,40,1.16013,0.07506,0.00107,-0.08402,0.20727,0.00247,0
night_clear,,0.0,1.0,240,180,40,0.70218,0.05397,0.0,-0.40612,0.18146,0.0,0
nir_night,,0.0,1.0,240,180,40,1.86813,0.06147,0.0,-0.00085,0.156,0.0,0
normal_night,,0.0,1.0,240,180,40,1.04366,0.06522,0.00186,-0.20049,0.19432,0.00212,0
night_clear,,0.0,1.2,320,240,40,0.96866,0.06328,0.0,-0.13965,0.19689,0.0,0
nir_night,,0.0,1.2,320,240,40,1.96405,0.07608,5e-05,0.09507,0.16084,4e-05,0
normal_night,,0.0,1.2,320,240,40,1.16632,0.07199,0.00069,-0.07783,0.213,0.00268,0
night_clear,,0.0,1.2,240,180,40,0.71579,0.05796,0.0,-0.39252,0.18974,0.0,0
nir_night,,0.0,1.2,240,180,40,1.89359,0.06705,3e-05,0.02462,0.15107,0.0,0
