env_class,edge_case,detail_strength,clahe_clip_scale,proc_w,proc_h,n,mean_log_rms_after,mean_pct_sat_after,mean_pct_crush_after,mean_delta_log_rms,p90_pct_sat_after,p90_pct_crush_after,stopping_rule_pass
night_clear,,0.0,0.5,320,240,10,0.86302,0.02297,0.0,-0.1472,0.06656,0.0,1
night_clear,,0.0,0.5,240,180,10,0.6087,0.02032,0.0,-0.40152,0.06268,0.0,1
night_clear,,0.0,1.0,320,240,10,0.90343,0.03469,0.0,-0.10678,0.09671,0.0,1
night_clear,,0.0,1.0,240,180,10,0.64669,0.03118,0.0,-0.36353,0.09083,0.0,1
night_clear,,0.0,1.2,320,240,10,0.91843,0.04073,0.0,-0.09179,0.11322,0.0,1
night_clear,,0.0,1.2,240,180,10,0.66129,0.0366,0.0,-0.34893,0.1042,0.0,1
night_clear,,0.0,1.5,320,240,10,0.95085,0.05021,0.0,-0.05937,0.14173,0.0,0
night_clear,,0.0,1.5,240,180,10,0.68676,0.04577,0.0,-0.32346,0.13154,0.0,1
night_clear,,0.16,0.5,320,240,10,0.86302,0.02297,0.0,-0.1472,0.06656,0.0,1
night_clear,,0.16,0.5,240,180,10,0.6087,0.02032,0.0,-0.40152,0.06268,0.0,1
night_clear,,0.16,1.0,320,240,10,0.90343,0.03469,0.0,-0.10678,0.09671,0.0,1
night_clear,,0.16,1.0,240,180,10,0.64669,0.03118,0.0,-0.36353,0.09083,0.0,1
night_clear,,0.16,1.2,320,240,10,0.91843,0.04073,0.0,-0.09179,0.11322,0.0,1
night_clear,,0.16,1.2,240,180,10,0.66129,0.0366,0.0,-0.34893,0.1042,0.0,1
night_clear,,0.16,1.5,320,240,10,0.95085,0.05021,0.0,-0.05937,0.14173,0.0,0
night_clear,,0.16,1.5,240,180,10,0.68676,0.04577,0.0,-0.32346,0.13154,0.0,1
night_clear,,0.25,0.5,320,240,10,0.86302,0.02297,0.0,-0.1472,0.06656,0.0,1
night_clear,,0.25,0.5,240,180,10,0.6087,0.02032,0.0,-0.40152,0.06268,0.0,1
night_clear,,0.25,1.0,320,240,10,0.90343,0.03469,0.0,-0.10678,0.09671,0.0,1
night_clear,,0.25,1.0,240,180,10,0.64669,0.03118,0.0,-0.36353,0.09083,0.0,1
night_clear,,0.25,1.2,320,240,10,0.91843,0.04073,0.0,-0.09179,0.11322,0.0,1
night_clear,,0.25,1.2,240,180,10,0.66129,0.0366,0.0,-0.34893,0.1042,0.0,1
night_clear,,0.25,1.5,320,240,10,0.95085,0.05021,0.0,-0.05937,0.14173,0.0,0
night_clear,,0.25,1.5,240,180,10,0.68676,0.04577,0.0,-0.32346,0.13154,0.0,1
night_clear,,0.35,0.5,320,240,10,0.86302,0.02297,0.0,-0.1472,0.06656,0.0,1
night_clear,,0.35,0.5,240,180,10,0.6087,0.02032,0.0,-0.40152,0.06268,0.0,1
night_clear,,0.35,1.0,320,240,10,0.90343,0.03469,0.0,-0.10678,0.09671,0.0,1
night_clear,,0.35,1.0,240,180,10,0.64669,0.03118,0.0,-0.36353,0.09083,0.0,1
night_clear,,0.35,1.2,320,240,10,0.91843,0.04073,0.0,-0.09179,0.11322,0.0,1
night_clear,,0.35,1.2,240,180,10,0.66129,0.0366,0.0,-0.34893,0.1042,0.0,1
night_clear,,0.35,1.5,320,240,10,0.95085,0.05021,0.0,-0.05937,0.14173,0.0,0
night_clear,,0.35,1.5,240,180,10,0.68676,0.04577,0.0,-0.32346,0.13154,0.0,1
