model,class,support,precision,recall,f1,f1_ci_low,f1_ci_high
logistic_regression,night_clear,417,0.8211764705882353,0.8369304556354916,0.828978622327791,0.7981136742669388,0.8531144274866551
logistic_regression,normal_night,352,0.6985294117647058,0.5397727272727273,0.6089743589743589,0.5611835767217292,0.6463481308124931
logistic_regression,normal_day,366,0.6843971631205674,0.5273224043715847,0.595679012345679,0.5425923635164109,0.6356534380738624
logistic_regression,fog,231,0.6742424242424242,0.7705627705627706,0.7191919191919192,0.6762279504610793,0.7604117647058823
logistic_regression,rain,194,0.4083769633507853,0.4020618556701031,0.4051948051948052,0.34005969227989885,0.44783715012722647
logistic_regression,glare,60,0.26262626262626265,0.43333333333333335,0.3270440251572327,0.24450039339103066,0.4131681384033159
logistic_regression,backlight,55,0.5232558139534884,0.8181818181818182,0.6382978723404256,0.5385367063492064,0.705187140860382
logistic_regression,transition,77,0.3008130081300813,0.4805194805194805,0.37,0.2885930649661219,0.4403296703296702
logistic_regression,nir_night,361,0.9595687331536388,0.9861495844875346,0.9726775956284153,0.9582940154471946,0.9832318305872839
linear_svm,night_clear,417,0.7944325481798715,0.8896882494004796,0.8393665158371041,0.8126387397829778,0.8626228103992958
linear_svm,normal_night,352,0.7197452229299363,0.6420454545454546,0.6786786786786787,0.6403819519827515,0.718817365269461
linear_svm,normal_day,366,0.6502242152466368,0.7923497267759563,0.7142857142857143,0.6839414930560868,0.7538556784735613
linear_svm,fog,231,0.6385135135135135,0.8181818181818182,0.7172675521821632,0.677335360138981,0.7644918842625265
linear_svm,rain,194,0.8333333333333334,0.12886597938144329,0.22321428571428573,0.15954732692563228,0.28962072155411656
linear_svm,glare,60,0.42857142857142855,0.15,0.2222222222222222,0.12454333462883793,0.3209655172413793
linear_svm,backlight,55,0.4421052631578947,0.7636363636363637,0.56,0.46018590642363816,0.6480086580086579
linear_svm,transition,77,0.35526315789473684,0.35064935064935066,0.35294117647058826,0.2526902202275337,0.418969298245614
linear_svm,nir_night,361,0.9592391304347826,0.9778393351800554,0.9684499314128944,0.952889544199938,0.9806458387379708
sgd_linear_svm,night_clear,417,0.7995391705069125,0.8321342925659473,0.8155111633372503,0.7806320246051033,0.8400013886173056
sgd_linear_svm,normal_night,352,0.6888888888888889,0.6164772727272727,0.6506746626686657,0.6106958598726114,0.6852577416918428
sgd_linear_svm,normal_day,366,0.6862068965517242,0.5437158469945356,0.6067073170731707,0.5617129928894635,0.6494311132415971
sgd_linear_svm,fog,231,0.6067073170731707,0.8614718614718615,0.7119856887298748,0.675769990391801,0.7525735294117647
sgd_linear_svm,rain,194,0.4032258064516129,0.12886597938144329,0.1953125,0.145748987854251,0.25942200908632
sgd_linear_svm,glare,60,0.13861386138613863,0.4666666666666667,0.21374045801526717,0.15122889736019948,0.2657034050179211
sgd_linear_svm,backlight,55,0.6551724137931034,0.6909090909090909,0.672566371681416,0.5682663972383598,0.773135271807838
sgd_linear_svm,transition,77,0.1509433962264151,0.1038961038961039,0.12307692307692308,0.053838475499092556,0.19927480916030532
sgd_linear_svm,nir_night,361,0.9487870619946092,0.9750692520775623,0.9617486338797814,0.9425679968026253,0.9748145585026643
gaussian_nb,night_clear,417,0.7510548523206751,0.8537170263788969,0.7991021324354658,0.7676489972695603,0.8273112001439392
gaussian_nb,normal_night,352,0.6236933797909407,0.5085227272727273,0.5602503912363067,0.5220020805749953,0.6016409000459207
gaussian_nb,normal_day,366,0.5266272189349113,0.7295081967213115,0.6116838487972509,0.5765541518550842,0.6534254385964913
gaussian_nb,fog,231,0.6009389671361502,0.5541125541125541,0.5765765765765766,0.5143830478809851,0.627770489345353
gaussian_nb,rain,194,0.4027777777777778,0.14948453608247422,0.21804511278195488,0.16836893846299272,0.28044280442804426
gaussian_nb,glare,60,0.273972602739726,0.3333333333333333,0.3007518796992481,0.21943090596330275,0.38424880533529376
gaussian_nb,backlight,55,0.5172413793103449,0.5454545454545454,0.5309734513274337,0.4230769230769231,0.6416082281439924
gaussian_nb,transition,77,0.391304347826087,0.35064935064935066,0.3698630136986301,0.27597107438016527,0.4325982742090124
gaussian_nb,nir_night,361,0.9722222222222222,0.9695290858725761,0.970873786407767,0.9568867831140321,0.981737684286228
decision_tree,night_clear,417,0.9369158878504673,0.9616306954436451,0.9491124260355029,0.9325105708245243,0.9619522649283718
decision_tree,normal_night,352,0.8327526132404182,0.6789772727272727,0.7480438184663537,0.7078821789830964,0.7884230287859825
decision_tree,normal_day,366,0.73125,0.639344262295082,0.6822157434402333,0.640139751552795,0.7240710878183162
decision_tree,fog,231,0.7324561403508771,0.7229437229437229,0.7276688453159041,0.6797879336637438,0.7720883588931943
decision_tree,rain,194,0.5621621621621622,0.5360824742268041,0.5488126649076517,0.4980031671505369,0.5993708432304037
decision_tree,glare,60,0.2755102040816326,0.45,0.34177215189873417,0.2537335121842164,0.4210800260247234
decision_tree,backlight,55,0.42857142857142855,0.6545454545454545,0.5179856115107914,0.41426666666666667,0.6180956367576084
decision_tree,transition,77,0.35,0.5454545454545454,0.4263959390862944,0.339001756772073,0.5000375459938424
decision_tree,nir_night,361,0.9696969696969697,0.9750692520775623,0.9723756906077348,0.959116015614162,0.9836860347439185
random_forest_50,night_clear,417,0.9688995215311005,0.9712230215827338,0.9700598802395209,0.959202846975089,0.98059012066365
random_forest_50,normal_night,352,0.8628571428571429,0.8579545454545454,0.8603988603988604,0.8305825864276568,0.8864454470200265
random_forest_50,normal_day,366,0.7915567282321899,0.819672131147541,0.8053691275167785,0.7687982700030893,0.8316156963427219
random_forest_50,fog,231,0.7983193277310925,0.8225108225108225,0.8102345415778252,0.7663243169954579,0.847808645070705
random_forest_50,rain,194,0.7529411764705882,0.6597938144329897,0.7032967032967034,0.6444362331081082,0.7593996569468268
random_forest_50,glare,60,0.5882352941176471,0.5,0.5405405405405406,0.42307478454267444,0.6333363148479427
random_forest_50,backlight,55,0.5675675675675675,0.7636363636363637,0.6511627906976745,0.5535040983606557,0.7464553904321798
random_forest_50,transition,77,0.5671641791044776,0.4935064935064935,0.5277777777777778,0.4256755162241888,0.6088503894708568
random_forest_50,nir_night,361,0.9726775956284153,0.9861495844875346,0.9793672627235214,0.9682122645234315,0.9886700693374422
random_forest_100,night_clear,417,0.9665871121718377,0.9712230215827338,0.9688995215311005,0.9590275297893912,0.9796262051809299
random_forest_100,normal_night,352,0.8641618497109826,0.8494318181818182,0.8567335243553008,0.8261844896505752,0.8836894902534057
random_forest_100,normal_day,366,0.7973333333333333,0.8169398907103825,0.8070175438596491,0.7721012690633801,0.8302872666532058
random_forest_100,fog,231,0.8008474576271186,0.8181818181818182,0.8094218415417559,0.7716370243650609,0.8456083235442188
random_forest_100,rain,194,0.7182320441988951,0.6701030927835051,0.6933333333333334,0.6389275074478649,0.7482575529776695
random_forest_100,glare,60,0.6444444444444445,0.48333333333333334,0.5523809523809524,0.44710367588482985,0.6521833721833722
random_forest_100,backlight,55,0.6142857142857143,0.7818181818181819,0.688,0.5928672150411282,0.7705368906455863
random_forest_100,transition,77,0.5466666666666666,0.5324675324675324,0.5394736842105263,0.4373827392120075,0.6068661296509398
random_forest_100,nir_night,361,0.9726775956284153,0.9861495844875346,0.9793672627235214,0.9682122645234315,0.9886700693374422
random_forest_200_current_config,night_clear,417,0.9688995215311005,0.9712230215827338,0.9700598802395209,0.9607963912164742,0.9804150094910964
random_forest_200_current_config,normal_night,352,0.867816091954023,0.8579545454545454,0.8628571428571429,0.8333693411124758,0.8875535403560433
random_forest_200_current_config,normal_day,366,0.7989276139410187,0.8142076502732241,0.8064952638700947,0.7692843729287872,0.8343874282898673
random_forest_200_current_config,fog,231,0.8068669527896996,0.8138528138528138,0.8103448275862069,0.7772521947733768,0.8485716700473293
random_forest_200_current_config,rain,194,0.7010869565217391,0.6649484536082474,0.6825396825396826,0.6282409897794513,0.7313236449332285
random_forest_200_current_config,glare,60,0.6041666666666666,0.48333333333333334,0.5370370370370371,0.42904607768469155,0.6312903225806451
random_forest_200_current_config,backlight,55,0.6111111111111112,0.8,0.6929133858267716,0.5972813859307035,0.7783516483516483
random_forest_200_current_config,transition,77,0.5492957746478874,0.5064935064935064,0.527027027027027,0.4223771348902056,0.6094617712856955
random_forest_200_current_config,nir_night,361,0.9726775956284153,0.9861495844875346,0.9793672627235214,0.9682122645234315,0.9886700693374422
random_forest_depth_8,night_clear,417,0.9476190476190476,0.9544364508393285,0.951015531660693,0.9349167137210616,0.9653105485910359
random_forest_depth_8,normal_night,352,0.8511326860841424,0.7471590909090909,0.7957639939485628,0.7639664157498552,0.8273139962392299
random_forest_depth_8,normal_day,366,0.703030303030303,0.6338797814207651,0.6666666666666666,0.626446369328296,0.7006972770996316
random_forest_depth_8,fog,231,0.686046511627907,0.7662337662337663,0.7239263803680982,0.678105116218673,0.7625227135069654
random_forest_depth_8,rain,194,0.5153374233128835,0.4329896907216495,0.47058823529411764,0.4131091984938139,0.5392844788409492
