model,class,support,precision,recall,f1,f1_ci_low,f1_ci_high
random_forest_100,night_clear,417,0.9828431372549019,0.9616306954436451,0.9721212121212122,0.9594340350065541,0.9813155136268344
random_forest_100,normal_night,352,0.8209366391184573,0.8465909090909091,0.8335664335664336,0.8013523103611417,0.8624550246285798
random_forest_100,normal_day,366,0.7708333333333334,0.8087431693989071,0.7893333333333333,0.7568887945826582,0.8201129872311828
random_forest_100,fog,203,0.7897196261682243,0.8325123152709359,0.8105515587529976,0.7680805687203791,0.8518104575163399
random_forest_100,rain,187,0.6385542168674698,0.5668449197860963,0.6005665722379604,0.5320901877970992,0.6614818181818182
random_forest_100,glare,60,0.5254237288135594,0.5166666666666667,0.5210084033613446,0.416233498349835,0.6284820904286552
random_forest_100,backlight,55,0.5308641975308642,0.7818181818181819,0.6323529411764706,0.528,0.7212267801857585
random_forest_100,transition,112,0.581081081081081,0.38392857142857145,0.46236559139784944,0.3730351796407186,0.5475
random_forest_100,nir_night,361,0.967032967032967,0.9750692520775623,0.9710344827586207,0.9578023980040564,0.9836602229434175
random_forest_200_current_config,night_clear,417,0.9829268292682927,0.9664268585131894,0.9746070133010882,0.9628755713630743,0.9838936694629421
random_forest_200_current_config,normal_night,352,0.83008356545961,0.8465909090909091,0.8382559774964838,0.8041287809558622,0.8681898883479218
random_forest_200_current_config,normal_day,366,0.7737789203084833,0.8224043715846995,0.7973509933774835,0.7637170362905128,0.8285370226887818
random_forest_200_current_config,fog,203,0.7924528301886793,0.8275862068965517,0.8096385542168675,0.7605678635090399,0.8467989056087551
random_forest_200_current_config,rain,187,0.6441717791411042,0.5614973262032086,0.6,0.5289992985540071,0.6594496021220159
random_forest_200_current_config,glare,60,0.5423728813559322,0.5333333333333333,0.5378151260504201,0.43242517891997395,0.6443619554559461
random_forest_200_current_config,backlight,55,0.5238095238095238,0.8,0.6330935251798561,0.5380910821961282,0.7210884353741497
random_forest_200_current_config,transition,112,0.581081081081081,0.38392857142857145,0.46236559139784944,0.37663823678432695,0.5456159917638982
random_forest_200_current_config,nir_night,361,0.9696969696969697,0.9750692520775623,0.9723756906077348,0.9595608386245474,0.9842144906743185
extra_trees,night_clear,417,0.9495192307692307,0.947242206235012,0.9483793517406963,0.9330107915661913,0.9626114674813704
extra_trees,normal_night,352,0.8262195121951219,0.7698863636363636,0.7970588235294118,0.7639767232388357,0.8320500549806796
extra_trees,normal_day,366,0.7771739130434783,0.7814207650273224,0.779291553133515,0.7455466398070903,0.8114979400909793
extra_trees,fog,203,0.7488789237668162,0.8226600985221675,0.784037558685446,0.7396112489660877,0.8237236076432056
extra_trees,rain,187,0.6225165562913907,0.5026737967914439,0.5562130177514792,0.48308213193534294,0.6170260681127706
extra_trees,glare,60,0.4647887323943662,0.55,0.5038167938931297,0.403591628959276,0.5993949044585987
extra_trees,backlight,55,0.47,0.8545454545454545,0.6064516129032258,0.5088979130255988,0.6857099539095981
extra_trees,transition,112,0.5483870967741935,0.45535714285714285,0.4975609756097561,0.4056603773584906,0.5799753216992772
extra_trees,nir_night,361,0.9586776859504132,0.96398891966759,0.9613259668508287,0.9462910119368763,0.975679682060803
logistic_regression,night_clear,417,0.8312958435207825,0.815347721822542,0.8232445520581114,0.7954107463073522,0.8502138302800815
logistic_regression,normal_night,352,0.6605839416058394,0.5142045454545454,0.5782747603833865,0.5328581064508217,0.6257445684827673
logistic_regression,normal_day,366,0.6317567567567568,0.5109289617486339,0.5649546827794562,0.5141890477851413,0.6107873210633947
logistic_regression,fog,203,0.6736401673640168,0.7931034482758621,0.7285067873303167,0.6800478589420655,0.7701186969507251
logistic_regression,rain,187,0.32972972972972975,0.32620320855614976,0.3279569892473118,0.2670053475935829,0.38706671649884944
logistic_regression,glare,60,0.25,0.5,0.3333333333333333,0.24803162224240158,0.4047140099563141
logistic_regression,backlight,55,0.45,0.8181818181818182,0.5806451612903226,0.47979842243645926,0.6625024422648587
logistic_regression,transition,112,0.4152542372881356,0.4375,0.4260869565217391,0.34166145507608925,0.5022435897435896
logistic_regression,nir_night,361,0.956989247311828,0.9861495844875346,0.9713506139154161,0.9592507307700169,0.9823631861404915
linear_svm,night_clear,417,0.8004434589800443,0.8657074340527577,0.8317972350230415,0.8061437977909941,0.858401959724774
linear_svm,normal_night,352,0.68,0.6278409090909091,0.6528803545051699,0.6117187483101495,0.6951787997321238
linear_svm,normal_day,366,0.6492374727668845,0.8142076502732241,0.7224242424242424,0.6865621862799777,0.7567565774444236
linear_svm,fog,203,0.6319702602230484,0.8374384236453202,0.7203389830508474,0.664416896695105,0.7621188946670745
linear_svm,rain,187,0.5384615384615384,0.11229946524064172,0.18584070796460178,0.11785610869807328,0.25712820512820506
linear_svm,glare,60,0.36666666666666664,0.18333333333333332,0.24444444444444444,0.13241228070175437,0.36281385281385276
linear_svm,backlight,55,0.44680851063829785,0.7636363636363637,0.5637583892617449,0.45946018651362985,0.6482758620689655
linear_svm,transition,112,0.4533333333333333,0.30357142857142855,0.36363636363636365,0.2689752716373173,0.446259250693802
linear_svm,nir_night,361,0.9622641509433962,0.9889196675900277,0.9754098360655737,0.9636212493072599,0.9855850145577285
hist_gradient_boosting,night_clear,417,0.9759036144578314,0.9712230215827338,0.9735576923076923,0.9624776023890785,0.9836266661559675
hist_gradient_boosting,normal_night,352,0.7912371134020618,0.8721590909090909,0.8297297297297297,0.8002442736716621,0.8595186413029179
hist_gradient_boosting,normal_day,366,0.7505938242280285,0.8633879781420765,0.8030495552731893,0.7700530395756834,0.831697586741074
hist_gradient_boosting,fog,203,0.7746478873239436,0.812807881773399,0.7932692307692307,0.7490203713987729,0.8333333333333334
hist_gradient_boosting,rain,187,0.6457142857142857,0.6042780748663101,0.6243093922651933,0.5602761611320324,0.6810963834269662
hist_gradient_boosting,glare,60,0.6153846153846154,0.4,0.48484848484848486,0.3728213646818298,0.5907034632034632
hist_gradient_boosting,backlight,55,0.673469387755102,0.6,0.6346153846153846,0.5188568376068377,0.7291330645161289
hist_gradient_boosting,transition,112,0.6739130434782609,0.2767857142857143,0.3924050632911392,0.2946262785208497,0.49091360476663354
hist_gradient_boosting,nir_night,361,0.9700272479564033,0.9861495844875346,0.978021978021978,0.9658027029554808,0.9874109441681657
mlp_small_32,night_clear,417,0.9013452914798207,0.9640287769784173,0.9316338354577057,0.913041550018017,0.949370432507044
mlp_small_32,normal_night,352,0.8117647058823529,0.7840909090909091,0.7976878612716763,0.765970688998858,0.8325495049504951
mlp_small_32,normal_day,366,0.6821052631578948,0.8852459016393442,0.7705112960760999,0.7374134334584898,0.8007403055229142
mlp_small_32,fog,203,0.721030042918455,0.8275862068965517,0.7706422018348624,0.7238802083333333,0.8115277285964199
